Name|||FullName|||ID|||Group|||TechGroup|||Warehous|||Area|||Sequence|||ItemLenght|||PriceCoefficient|||AddCoefficient|||PackWeight|||PackWeightUnit|||CutHalf|||MinimalQuantity
Металлопрокат|||Металлопрокат|||0000       |||Товар|||||||||||||||||||||||||||т|||false|||
Арматура  6 А500С (А3)|||Арматура  6 А500С (А3)|||1101       |||Арматура рифленая|||Сортовой прокат|||Склад №2|||Ворота №3|||2|||6|||0,232||||||2|||т|||false|||0,2
Арматура  8 А500С (А3)|||Арматура  8 А500С (А3) 12м|||1102       |||Арматура рифленая|||Сортовой прокат|||Склад №2|||Ворота №4|||2|||12|||0,405||||||2|||т|||true|||
Арматура  8 А500С (А3)|||Арматура  8 А500С (А3) 6м|||1102       |||Арматура рифленая|||Сортовой прокат|||Склад №2|||Ворота №3|||2|||6|||0,405||||||2|||т|||false|||0,2
Арматура  8 А500С (А3)|||Арматура  8 А500С (А3) 5,85м|||1102       |||Арматура рифленая|||Сортовой прокат|||Склад №2|||Ворота №3|||2|||5,85|||0,405||||||2|||т|||false|||0,2
Арматура  8 А500С (А3)|||Арматура  8 А500С (А3) 11,7м|||1102       |||Арматура рифленая|||Сортовой прокат|||Склад №2|||Ворота №4|||2|||11,7|||0,405||||||2|||т|||true|||
Арматура  8 А500С (А3)|||Арматура  8 А500С (А3) 11,7м|||1102       |||Арматура рифленая|||Сортовой прокат|||Склад №2|||Ворота №4|||2|||11,7|||0,405||||||2|||т|||true|||
Арматура  8 А500С (А3) заготовка|||Арматура  8 А500С (А3) 5,85м заготовка|||1102       |||Арматура рифленая|||Сортовой прокат|||Склад №2|||Ворота №3|||2|||5,85|||0,405|||||||||т|||false|||0,2
Арматура 10 А500С (А3)|||Арматура 10 А500С (А3) 11,7м|||1103       |||Арматура рифленая|||Сортовой прокат|||Склад №2|||Ворота №4|||2|||11,7|||0,636||||||5|||т|||true|||10
Арматура 10 А500С (А3) заготовка|||Арматура 10 А500С (А3) 5,85м заготовка|||1103       |||Арматура рифленая|||Сортовой прокат|||Склад №2|||Ворота №3|||2|||5,85|||0,636||||||5|||т|||false|||8
Арматура 12 А500С (А3)|||Арматура 12 А500С (А3) 11,7м|||1104       |||Арматура рифленая|||Сортовой прокат|||Склад №2|||Ворота №4|||2|||11,7|||0,908||||||5|||т|||true|||10
Арматура 12 А500С (А3) заготовка|||Арматура 12 А500С (А3) 5,85м заготовка|||1104       |||Арматура рифленая|||Сортовой прокат|||Склад №2|||Ворота №3|||2|||5,85|||0,908||||||5|||т|||false|||8
Арматура 14 А500С (А3)|||Арматура 14 А500С (А3)|||1105       |||Арматура рифленая|||Сортовой прокат|||Склад №2|||Ворота №4|||2|||11,7|||1,25||||||5|||т|||true|||5
Арматура 14 А500С (А3) заготовка|||Арматура 14 А500С (А3) 5,85м заготовка|||1105       |||Арматура рифленая|||Сортовой прокат|||Склад №2|||Ворота №3|||2|||5,85|||1,25||||||5|||т|||false|||1
Арматура 16 А500С (А3)|||Арматура 16 А500С (А3)|||1106       |||Арматура рифленая|||Сортовой прокат|||Склад №2|||Ворота №4|||2|||11,7|||1,62||||||5|||т|||true|||5
Арматура 16 А500С (А3) заготовка|||Арматура 16 А500С (А3) 5,85м заготовка|||1106       |||Арматура рифленая|||Сортовой прокат|||Склад №2|||Ворота №3|||2|||5,85|||1,62||||||5|||т|||false|||1
Арматура 20 А500С (А3)|||Арматура 20 А500С (А3)|||1107       |||Арматура рифленая|||Сортовой прокат|||Склад №2|||Ворота №4|||2|||11,7|||2,51||||||5|||т|||true|||5
Арматура 20 А500С (А3) заготовка|||Арматура 20 А500С (А3) 5,85м заготовка|||1107       |||Арматура рифленая|||Сортовой прокат|||Склад №2|||Ворота №3|||2|||5,85|||2,51||||||5|||т|||false|||1
Круг  6 Ст3 А240 (А1)|||Круг  6 Ст3 А240 (А1)|||1201       |||Арматура гладкая|||Сортовой прокат|||Склад №2|||Ворота №3|||2|||6|||0,232||||||2|||т|||false|||0
Круг  6,5 Ст3 А240 (А1)|||Круг  6,5 Ст3 А240 (А1)|||1201       |||Арматура гладкая|||Сортовой прокат|||Склад №2|||Ворота №3|||2|||6|||0,27||||||2|||т|||false|||0
Круг  8 Ст3 А240 (А1)|||Круг  8 Ст3 А240 (А1)|||1202       |||Арматура гладкая|||Сортовой прокат|||Склад №2|||Ворота №3|||2|||6|||0,405||||||2|||т|||false|||0
Круг 10 Ст3 А240 (А1)|||Круг 10 Ст3 А240 (А1) 11,7м|||1203       |||Арматура гладкая|||Сортовой прокат|||Склад №2|||Ворота №4|||2|||11,7|||0,636||||||2|||т|||true|||3
Круг 10 Ст3 А240 (А1)|||Круг 10 Ст3 А240 (А1)|||1203       |||Арматура гладкая|||Сортовой прокат|||Склад №2|||Ворота №3|||2|||6|||0,636||||||2|||т|||false|||0
Круг 10 Ст3 А240 (А1) заготовка|||Круг 10 Ст3 А240 (А1) 5,85м заготовка|||1203       |||Арматура гладкая|||Сортовой прокат|||Склад №2|||Ворота №3|||2|||5,85|||0,636||||||2|||т|||false|||0
Круг 12 Ст3 А240 (А1)|||Круг 12 Ст3 А240 (А1) 11,7м|||1204       |||Арматура гладкая|||Сортовой прокат|||Склад №2|||Ворота №4|||2|||11,7|||0,908||||||5|||т|||true|||3
Круг 12 Ст3 А240 (А1)|||Круг 12 Ст3 А240 (А1)|||1204       |||Арматура гладкая|||Сортовой прокат|||Склад №2|||Ворота №3|||2|||5,85|||0,908||||||5|||т|||false|||0
Круг 12 Ст3 А240 (А1) заготовка|||Круг 12 Ст3 А240 (А1) 5,85м заготовка|||1204       |||Арматура гладкая|||Сортовой прокат|||Склад №2|||Ворота №3|||2|||5,85|||0,908||||||5|||т|||false|||0
Круг 14 Ст3 А240 (А1)|||Круг 14 Ст3 А240 (А1) 5,85м|||1205       |||Арматура гладкая|||Сортовой прокат|||Склад №2|||Ворота №3|||2|||5,85|||1,25||||||5|||т|||false|||0
Круг 14 Ст3 А240 (А1)|||Круг 14 Ст3 А240 (А1) 11,7м|||1205       |||Арматура гладкая|||Сортовой прокат|||Склад №2|||Ворота №4|||2|||11,7|||1,25||||||5|||т|||true|||3
Круг 14 Ст3 А240 (А1) заготовка|||Круг 14 Ст3 А240 (А1) 5,85м заготовка|||1205       |||Арматура гладкая|||Сортовой прокат|||Склад №2|||Ворота №3|||2|||5,85|||1,25||||||5|||т|||false|||0
Квадрат ГК 10 Ст3|||Квадрат ГК 10 Ст3|||1301       |||Квадрат|||Сортовой прокат|||Склад №2|||Ворота №3|||2|||6|||0,805||||||5|||т|||false|||2
Квадрат ГК 12 Ст3|||Квадрат ГК 12 Ст3|||1302       |||Квадрат|||Сортовой прокат|||Склад №2|||Ворота №3|||2|||6|||1,15||||||5|||т|||false|||2
Полоса ГК 25х4 Ст3|||Полоса ГК 25х4 Ст3|||1401       |||Полоса|||Сортовой прокат|||Склад №2|||Ворота №3|||3|||6|||0,8||||||5|||т|||false|||2
Полоса ГК 40х4 Ст3|||Полоса ГК 40х4 Ст3|||1402       |||Полоса|||Сортовой прокат|||Склад №2|||Ворота №3|||3|||6|||1,28||||||5|||т|||false|||2
Проволока вязальная 1,2 мм. ГОСТ 3282-74|||Проволока вязальная 1,2 мм.  |||1501       |||Проволока|||Сортовой прокат|||Склад №2|||Ворота №3|||3||||||||||||0,08|||т|||false|||1
Проволока 3 мм. ГОСТ 3282-74|||Проволока 3 мм.  |||1502       |||Проволока|||Сортовой прокат|||Склад №2|||Ворота №3|||3||||||||||||0,08|||т|||false|||0,5
Уголок  25х25х4 Ст3|||Уголок  25х25х4 Ст3|||2101       |||Уголок|||Фасонный прокат|||Склад №2|||Ворота №3|||4|||6|||1,51||||||3|||т|||false|||0,6
Уголок  32х32х4 Ст3|||Уголок  32х32х4 Ст3|||2102       |||Уголок|||Фасонный прокат|||Склад №2|||Ворота №3|||4|||6|||1,96||||||3|||т|||false|||0,6
Уголок  40х40х4 Ст3|||Уголок  40х40х4 Ст3 12 м|||2103       |||Уголок|||Фасонный прокат|||Склад №2|||Ворота №4|||4|||12|||2,47||||||5|||т|||true|||4
Уголок  40х40х4 Ст3|||Уголок  40х40х4 Ст3 6 м|||2103       |||Уголок|||Фасонный прокат|||Склад №2|||Ворота №3|||4|||6|||2,47||||||5|||т|||false|||0,6
Уголок  40х40х4 Ст3 заготовка|||Уголок  40х40х4 Ст3 6 м заготовка|||2103       |||Уголок|||Фасонный прокат|||Склад №2|||Ворота №3|||4|||6|||2,47||||||5|||т|||false|||0,6
Уголок  50х50х4 Ст3|||Уголок  50х50х4 Ст3 12м|||2104       |||Уголок|||Фасонный прокат|||Склад №2|||Ворота №4|||4|||12|||3,1||||||5|||т|||true|||4
Уголок  50х50х4 Ст3 заготовка|||Уголок  50х50х4 Ст3 6м заготовка|||2104       |||Уголок|||Фасонный прокат|||Склад №2|||Ворота №3|||4|||6|||3,1||||||5|||т|||false|||0,6
Уголок  63х63х5 Ст3|||Уголок  63х63х5 Ст3|||2105       |||Уголок|||Фасонный прокат|||Склад №2|||Ворота №4|||4|||12|||4,88||||||5|||т|||true|||4
Уголок  63х63х5 Ст3 заготовка|||Уголок  63х63х5 Ст3 6м заготовка|||2105       |||Уголок|||Фасонный прокат|||Склад №2|||Ворота №3|||4|||6|||4,88||||||5|||т|||false|||0,6
Уголок  75х75х5 Ст3|||Уголок  75х75х5 Ст3|||2106       |||Уголок|||Фасонный прокат|||Склад №2|||Ворота №4|||4|||12|||5,87||||||5|||т|||true|||4
Уголок  75х75х5 Ст3 заготовка|||Уголок  75х75х5 Ст3 6м заготовка|||2106       |||Уголок|||Фасонный прокат|||Склад №2|||Ворота №3|||4|||6|||5,87||||||5|||т|||false|||0,6
Уголок  90х90х6 Ст3|||Уголок  90х90х6 Ст3|||2107       |||Уголок|||Фасонный прокат|||Склад №2|||Ворота №4|||4|||12|||8,4||||||5|||т|||true|||4
Уголок  90х90х6 Ст3 заготовка|||Уголок  90х90х6 Ст3 6м заготовка|||2107       |||Уголок|||Фасонный прокат|||Склад №2|||Ворота №3|||4|||6|||8,4||||||5|||т|||false|||1
Уголок 100х100х7 Ст3|||Уголок 100х100х7 Ст3|||2108       |||Уголок|||Фасонный прокат|||Склад №2|||Ворота №4|||4|||12|||10,86||||||5|||т|||true|||4
Уголок 100х100х7 Ст3 заготовка|||Уголок 100х100х7 Ст3 6м заготовка|||2108       |||Уголок|||Фасонный прокат|||Склад №2|||Ворота №3|||4|||6|||10,86||||||5|||т|||false|||1
Уголок 125х125х8 Ст3|||Уголок 125х125х8 Ст3|||2109       |||Уголок|||Фасонный прокат|||Склад №2|||Ворота №4|||4|||12|||15,53||||||5|||т|||true|||4
Уголок 125х125х8 Ст3 заготовка|||Уголок 125х125х8 Ст3 6м заготовка|||2109       |||Уголок|||Фасонный прокат|||Склад №2|||Ворота №3|||4|||6|||15,53||||||5|||т|||false|||1
Швеллер ГК  8|||Швеллер ГК  8|||2202       |||Швеллер|||Фасонный прокат|||Склад №2|||Ворота №4|||4|||12|||7,45||||||5|||т|||true|||5
Швеллер ГК  8 заготовка|||Швеллер ГК  8 6м заготовка|||2202       |||Швеллер|||Фасонный прокат|||Склад №2|||Ворота №3|||4|||6|||7,45||||||5|||т|||false|||1
Швеллер ГК 10|||Швеллер ГК 10|||2203       |||Швеллер|||Фасонный прокат|||Склад №2|||Ворота №4|||4|||12|||8,99||||||5|||т|||true|||5
Швеллер ГК 10 заготовка|||Швеллер ГК 10 6м заготовка|||2203       |||Швеллер|||Фасонный прокат|||Склад №2|||Ворота №3|||4|||6|||8,99||||||5|||т|||false|||1
Швеллер ГК 12|||Швеллер ГК 12|||2204       |||Швеллер|||Фасонный прокат|||Склад №2|||Ворота №4|||4|||12|||10,8||||||5|||т|||true|||5
